trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
1,7010036,160,6,6,127.985135,26.260648,15381.869408,false,false,,,438.753194,302.115291,14613.931202,0.010000,0.015000,0.015000,0.350000,0.00180000,0.469660,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
2,7020009,160,6,6,105.561183,25.576640,12867.827284,false,false,,,412.333666,300.226772,13337.320319,0.010000,0.015000,0.015000,0.350000,0.00180000,0.453855,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
3,7029982,160,6,6,107.223297,25.768813,14349.956813,false,false,,,421.242598,301.198100,13633.826691,0.010000,0.015000,0.015000,0.350000,0.00180000,0.456637,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
4,7039955,160,6,6,111.980724,25.876647,13086.920095,false,false,,,426.422740,301.400184,14195.798994,0.010000,0.015000,0.015000,0.350000,0.00180000,0.460172,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
5,7049928,160,6,6,114.837015,25.936197,14557.562294,false,false,,,425.251044,301.008628,14257.257702,0.010000,0.015000,0.015000,0.350000,0.00180000,0.462703,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
6,7059901,160,6,6,102.899097,25.457841,14162.459871,false,false,,,404.622157,299.621488,12728.335349,0.010000,0.015000,0.015000,0.350000,0.00180000,0.449750,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
7,7069874,160,6,6,94.334737,25.359680,13098.090073,true,false,138,,401.150476,300.139467,13171.048016,0.010000,0.015000,0.015000,0.350000,0.00180000,0.442313,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
0,8000066,160,6,6,118.513608,26.203092,12769.530997,false,false,,,439.123239,302.578097,13515.159994,0.010000,0.020000,0.015000,0.350000,0.00180000,0.467250,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
1,8010039,160,6,6,84.573369,25.415625,10167.302234,true,false,136,,404.215800,300.606255,11267.612223,0.010000,0.020000,0.015000,0.350000,0.00180000,0.442963,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
2,8020012,160,6,6,80.470547,25.124613,12555.563964,true,false,135,,391.635583,298.830810,11531.518217,0.010000,0.020000,0.015000,0.350000,0.00180000,0.441780,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
3,8029985,160,6,6,103.254047,25.877252,12331.359711,false,false,,,424.427599,301.660331,12684.817976,0.010000,0.020000,0.015000,0.350000,0.00180000,0.457266,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
